Pass	Result	Profit	Expected Payoff	Profit Factor	Recovery Factor	Sharpe Ratio	Custom	Equity DD %	Trades	Inp_Invalidation_Mode	Inp_Confirmation_Strategy	Inp_Confirmation_Timeout	Inp_PriceConfirmation_Enabled	Inp_Placement_ATR_Period	Inp_Placement_ATR_Multiplier	Inp_Placement_Percent_Value	Inp_SL_ATR_Period	Inp_SL_ATR_Multiplier	Inp_Trailing_ATR_Period	Inp_Trailing_ATR_Multiplier	Inp_RR_Ratio	Inp_PartialClosePercent	Inp_Pullback_StopBuffer_Points	Inp_BE_Buffer_Points	Inp_Trailing_MinChange_Points	Inp_BoundaryDetectionMode	Inp_IchimokuFilter_Enabled	Inp_AdaptiveEntry_Enabled	Inp_AdaptiveMode	Inp_IchimokuMode	Inp_MinCandleBodyRatio	Inp_ExplosiveCandleBodyRatio	Inp_MA_Fast_Period	Inp_MA_Slow_Period	Inp_Market_RR_Ratio	Inp_Market_PartialClosePercent	Inp_Market_BE_Buffer_Points	Inp_AdaptiveSL_Enabled	InpRange1_Enabled	InpRange1_Placement_Mode	InpRange1_SL_Strategy	InpRange1_SL_Calc_Mode	InpRange1_Trailing_Mode	InpRange1_Cleanup_Hours	InpRange1_QualityFilter	InpRange2_Enabled	InpRange2_Execution_Timeframe	InpRange2_TrendFilter_Timeframe	InpRange2_Placement_Mode	InpRange2_SL_Strategy	InpRange2_SL_Calc_Mode	InpRange2_Trailing_Mode	InpRange2_Cleanup_Hours	InpRange2_QualityFilter	InpRange3_Enabled	InpRange3_Execution_Timeframe	InpRange3_TrendFilter_Timeframe	InpRange3_Placement_Mode	InpRange3_SL_Strategy	InpRange3_SL_Calc_Mode	InpRange3_Trailing_Mode	InpRange3_Cleanup_Hours	InpRange3_QualityFilter	InpRange4_Enabled	InpRange4_Execution_Timeframe	InpRange4_TrendFilter_Timeframe	InpRange4_Placement_Mode	InpRange4_SL_Strategy	InpRange4_SL_Calc_Mode	InpRange4_Trailing_Mode	InpRange4_Cleanup_Hours	InpRange4_QualityFilter	Column1
18658	1204558.87	1199558.87	1751.18083	1.72233	2.06693	2.14108	417	47.11	685	1	0	11	true	140	1.5	1.84	51	0.5	35	1.5	1.8	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	18	0	true	2	15	1	1	1	0	23	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	FALSE
18144	1195800.02	1190800.02	1738.39419	1.71912	2.06231	2.12929	417	46.90	685	1	0	11	true	124	1.5	1.84	54	0.5	20	1.5	1.8	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	4	true	true	1	1	1	0	18	0	true	2	15	1	1	1	1	23	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	FALSE
20204	1194880.74	1189880.74	1742.13871	1.68520	1.96178	2.23097	416	47.10	683	1	0	11	true	156	1.4	1.33	54	1.2	35	1.5	1.7	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	2.9	46	7	true	true	1	1	1	0	15	0	true	2	15	1	1	1	1	18	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
20073	1174943.42	1169943.42	1717.97859	1.69125	1.97928	2.22330	416	47.14	681	1	0	11	true	156	1.5	1.33	51	1.2	21	1.5	1.7	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	15	0	true	2	15	1	1	1	1	18	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
20134	1172024.72	1167024.72	1713.69269	1.69204	1.98498	2.22432	416	47.07	681	1	0	11	true	137	1.5	1.36	51	1.2	21	1.5	1.7	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	2.9	46	7	true	true	1	1	1	0	15	0	true	2	15	1	1	1	1	18	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
19653	1163483.64	1158483.64	1698.65636	1.69091	1.97900	2.21928	416	47.15	682	1	0	11	true	156	1.5	1.33	54	1.2	21	1.5	1.7	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	18	0	true	2	15	1	1	1	1	18	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
19104	1153739.69	1148739.69	1684.36905	1.69118	1.98436	2.21836	416	47.05	682	1	0	11	true	140	1.5	1.36	54	1.2	21	1.5	1.7	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	18	0	true	2	15	1	1	1	1	18	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
18922	1133980.11	1128980.11	1640.95946	1.68519	2.05387	2.21717	417	45.91	688	1	0	11	true	155	1.5	1.33	51	1.2	35	1.5	1.7	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	18	0	true	2	15	1	1	1	0	23	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	11	1	TRUE
18782	1124958.38	1119958.38	1644.57912	1.66943	1.92962	2.20659	416	46.94	681	0	0	11	true	140	1.5	1.33	54	1.2	20	1.5	1.7	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	18	0	true	2	15	1	1	1	1	18	0	true	3	12	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
17767	1104410.58	1099410.58	1593.34867	1.66373	1.86229	2.19007	417	48.89	690	1	0	11	true	140	1.5	1.33	54	1.2	20	1.5	1.8	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	6	true	true	1	1	1	0	23	0	true	2	15	1	1	1	1	23	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	11	1	TRUE
