Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,Inp_IchimokuFilter_Enabled,InpRange2_ATR_Period,InpRange2_ATR_Multiplier,InpRange2_SL_ATR_Period,InpRange2_SL_ATR_Multiplier,InpRange2_Trailing_ATR_Period,InpRange2_Trailing_ATR_Multiplier,InpRange2_RR_Ratio,InpRange2_PartialClosePercent
3966,24242.00,12122.10,17.80044,1.36635,6.94537,4.20660,24242,13.25,681,true,27,2.76,125,1.5,127,1.7,2.4,31
3973,24242.00,12122.10,17.80044,1.36635,6.94537,4.20660,24242,13.25,681,true,27,2.76,69,1.5,136,1.7,2.4,31
3848,24242.00,12122.10,17.80044,1.36635,6.94537,4.20660,24242,13.25,681,true,27,2.76,125,1.5,119,1.7,2.4,31
3840,24242.00,12122.10,17.80044,1.36635,6.94537,4.20660,24242,13.25,681,true,27,2.76,125,1.5,128,1.7,2.4,31
3834,24242.00,12122.10,17.80044,1.36635,6.94537,4.20660,24242,13.25,681,true,27,2.76,109,1.5,128,1.7,2.4,31
3621,24242.00,12122.10,17.80044,1.36635,6.94537,4.20660,24242,13.25,681,true,27,2.76,49,1.5,119,1.7,2.4,31
3079,24242.00,12122.10,17.80044,1.36635,6.94537,4.20660,24242,13.25,681,true,27,2.76,20,1.5,128,1.7,2.4,31
3974,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,125,1.5,103,2.3,2.4,11
3970,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,126,1.5,128,2.3,2.4,11
3960,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,125,1.5,80,2.3,2.4,11
3971,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,29,1.5,113,2.3,2.4,11
3957,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,136,1.5,84,2.3,2.4,11
3928,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,109,1.5,58,2.3,2.4,11
3893,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,49,1.5,52,2.3,2.4,11
3878,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,126,1.5,119,2.3,2.4,11
3895,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,29,1.5,97,2.3,2.4,11
3744,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,13,1.5,107,2.3,2.4,11
3816,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,125,1.5,112,2.3,2.4,11
3716,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,69,1.5,136,2.3,2.4,11
3671,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,97,1.5,138,2.3,2.4,11
3286,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,125,1.5,119,2.3,2.4,11
3057,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,49,1.5,119,2.3,2.4,11
2892,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,43,1.5,119,2.3,2.4,11
2701,21304.00,11099.81,16.29928,1.35419,6.09913,3.68903,21304,12.80,681,true,27,2.76,125,1.5,128,2.3,2.4,11
3713,20340.00,9398.99,14.04931,1.36784,6.99887,3.87694,20340,10.07,669,true,23,3,86,1.65,105,1.7,1.95,11
3315,18532.00,9956.22,14.88224,1.38958,6.20948,3.96501,18532,11.22,669,true,24,3,42,1.95,107,1.7,1.95,11
3881,18408.00,11207.77,16.45781,1.35027,6.45100,4.11217,18408,13.80,681,true,27,2.76,20,1.5,128,1.7,2.4,46
3888,18408.00,11207.77,16.45781,1.35027,6.45100,4.11217,18408,13.80,681,true,27,2.76,126,1.5,119,1.7,2.4,46
3428,18408.00,11207.77,16.45781,1.35027,6.45100,4.11217,18408,13.80,681,true,27,2.76,125,1.5,119,1.7,2.4,46
2356,18408.00,11207.77,16.45781,1.35027,6.45100,4.11217,18408,13.80,681,true,27,2.76,125,1.5,128,1.7,2.4,46
