Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,Inp_IchimokuFilter_Enabled,InpRange1_ATR_Period,InpRange1_ATR_Multiplier,InpRange1_SL_ATR_Period,InpRange1_SL_ATR_Multiplier,InpRange1_Trailing_ATR_Period,InpRange1_Trailing_ATR_Multiplier,InpRange1_RR_Ratio,InpRange1_PartialClosePercent
2007,514826.00,1683.18,88.58842,3.49445,1.82052,24.23600,514826,13.33,19,true,1,2.5,135,2.05,58,2.9,2.7,101
1527,452342.00,919.41,61.29400,2.83812,2.80445,22.16672,452342,5.25,15,true,1,2.5,130,1.6,140,1.8,3.15,101
948,384654.00,855.90,57.06000,2.72686,2.64142,21.41852,384654,5.24,15,true,1,2.5,130,1.6,140,2.9,2.7,101
2103,322393.00,1452.40,53.79259,3.00907,1.58338,36.42243,322393,13.31,27,true,1,1.7,135,2.05,58,2.8,2.25,71
1693,241153.00,1701.84,89.57053,3.28825,1.59899,22.61267,241153,14.75,19,true,1,2.5,57,1.9,35,1.4,3.6,101
1839,196559.00,1610.98,73.22636,3.45546,1.54208,30.65983,196559,14.94,22,true,1,1.5,119,1.75,36,2.5,2.7,96
2194,192463.00,1668.07,50.54758,2.57395,1.72719,27.59279,192463,14.17,33,false,1,1.9,74,2.05,28,2.1,3.45,91
2080,192463.00,1668.07,50.54758,2.57395,1.72719,27.59279,192463,14.17,33,false,1,1.9,74,2.05,16,2.1,3.45,91
1519,192070.00,1351.21,54.04840,2.85392,1.25980,26.84310,192070,15.41,25,true,1,2.9,18,2.05,46,2.3,3.45,61
1620,189199.00,1654.59,50.13909,2.56222,1.70318,27.56434,189199,14.26,33,false,1,1.9,74,2.05,16,1,3.75,71
2085,178222.00,35921.32,42.46019,1.55659,9.43461,13.36731,178222,11.03,846,true,115,1.9,58,1.3,118,1.1,1.5,101
1977,172917.00,1318.41,52.73640,2.81362,1.19812,26.82950,172917,15.82,25,true,1,2.9,18,2.05,46,1.5,3.3,16
1770,167113.00,1296.44,51.85760,2.78652,1.16022,26.79710,167113,16.07,25,true,1,2.9,18,2.05,46,2,3.3,26
2021,166953.00,1494.67,67.93955,3.28938,1.43074,30.66370,166953,14.93,22,true,1,1.5,112,1.75,47,1.5,3.3,16
1751,163250.00,1819.36,43.31810,2.42493,2.13145,29.78658,163250,12.61,42,false,1,1.5,121,2.2,29,1,1.5,76
2196,162111.00,1819.30,43.31667,2.42478,2.13138,29.73184,162111,12.60,42,false,1,1.5,121,2.2,16,1,1.5,81
1975,162111.00,1819.30,43.31667,2.42478,2.13138,29.73184,162111,12.60,42,false,1,1.5,121,2.2,28,1,1.5,81
2076,162111.00,1819.30,43.31667,2.42478,2.13138,29.73184,162111,12.60,42,false,1,1.5,121,2.2,29,1,1.5,81
1764,160937.00,1818.69,43.30214,2.42506,2.13066,29.93334,160937,12.61,42,false,1,1.5,14,2.2,95,1,1.5,61
2132,159925.00,1189.23,45.73962,2.58052,1.35284,29.75473,159925,13.30,26,true,1,1.5,135,2.05,58,2.9,2.4,66
2050,158963.00,706.02,47.06800,2.30520,2.01916,13.49736,158963,6.25,15,true,1,2.5,130,1.6,88,1.4,3.6,101
1653,158963.00,706.02,47.06800,2.30520,2.01916,13.49736,158963,6.25,15,true,1,2.5,130,1.6,140,1.4,3.6,101
1371,158963.00,706.02,47.06800,2.30520,2.01916,13.49736,158963,6.25,15,true,1,2.5,130,1.6,31,1.4,3.6,101
2041,152706.00,1815.28,43.22095,2.42528,2.13121,30.52317,152706,12.60,42,false,1,1.5,121,2.2,29,1,1.5,1
1786,152706.00,1815.28,43.22095,2.42528,2.13121,30.52317,152706,12.60,42,false,1,1.5,121,2.2,28,1,1.5,1
1721,152706.00,1815.28,43.22095,2.42528,2.13121,30.52317,152706,12.60,42,false,1,1.5,7,2.2,85,1,1.5,1
1533,152706.00,1815.28,43.22095,2.42528,2.13121,30.52317,152706,12.60,42,false,1,1.5,14,2.2,95,1,1.5,1
950,152706.00,1815.28,43.22095,2.42528,2.13121,30.52317,152706,12.60,42,false,1,1.5,7,2.2,69,1,1.5,1
691,152706.00,1815.28,43.22095,2.42528,2.13121,30.52317,152706,12.60,42,false,1,1.5,7,2.2,108,1,1.5,1
1796,149906.00,1438.26,65.37546,3.21933,1.38885,29.70460,149906,14.94,22,true,1,1.5,119,1.75,36,1.9,2.4,36
2184,147685.00,1684.16,44.32000,2.28992,1.48359,17.94614,147685,15.54,38,false,1,2.9,130,2.2,61,2.1,3.3,26
1844,143738.00,1412.30,64.19546,3.18538,1.36859,29.09123,143738,14.92,22,true,1,1.5,119,1.75,36,1.3,1.8,11
1715,139804.00,31434.82,37.20097,1.48687,7.82576,12.49069,139804,12.18,845,true,125,1.9,16,1.45,135,1.1,1.5,101
1978,135276.00,1420.84,64.58364,3.20087,1.38174,28.51824,135276,14.92,22,true,1,1.5,119,1.75,36,1,1.5,1
1990,134801.00,1139.52,43.82769,2.52196,1.30712,28.79353,134801,13.28,26,true,1,1.5,135,2.05,58,1,1.5,36
1885,128638.00,1141.50,43.90385,2.52678,1.30939,29.37093,128638,13.29,26,true,1,1.5,135,2.05,58,1,1.5,1
2155,126120.00,1119.86,43.07154,2.49586,1.28189,28.10412,126120,13.30,26,true,1,1.5,135,2.05,65,1.7,1.8,71
1850,121166.00,1319.38,57.36435,2.51597,1.59677,24.72492,121166,12.63,23,true,1,2.1,81,2.2,77,1,2.7,101
1437,121145.00,1734.35,42.30122,2.29249,2.02753,26.79165,121145,12.61,41,false,1,1.5,121,2.2,29,2,1.8,96
1362,118667.00,1688.63,41.18610,2.26259,1.97829,26.61856,118667,12.60,41,false,1,1.5,7,2.2,108,1.7,1.8,71
1820,110739.00,34600.52,40.94736,1.54325,8.00142,12.08482,110739,12.56,845,true,35,1.7,48,1.3,104,1.1,1.5,101
1812,110454.00,1061.42,40.82385,2.42547,1.21753,28.49348,110454,13.29,26,true,1,1.5,135,2.05,58,2.2,1.8,31
1968,107205.00,1276.22,63.81100,2.69125,1.35110,23.92498,107205,14.07,20,true,1,1.5,119,1.9,55,1.1,1.5,101
1954,106918.00,1622.59,39.57537,2.21662,1.90092,26.40877,106918,12.61,41,false,1,1.5,7,2.2,69,1.3,1.8,11
1784,106918.00,1622.59,39.57537,2.21662,1.90092,26.40877,106918,12.61,41,false,1,1.5,7,2.2,108,1.3,1.8,11
1202,101897.00,1568.56,38.25756,2.17746,1.83763,26.06896,101897,12.60,41,false,1,1.5,121,2.2,29,2.6,1.95,31
2177,98134.00,1111.52,55.57600,2.37269,1.25664,20.43522,98134,13.30,20,true,1,1.5,135,2.05,65,1.5,3,101
1814,98134.00,1111.52,55.57600,2.37269,1.25664,20.43522,98134,13.30,20,true,1,1.5,135,2.05,58,1.5,3,101
1988,97938.00,555.41,37.02733,2.15168,1.58857,14.51883,97938,6.28,15,true,1,2.5,130,1.6,31,1.1,1.5,101
1758,88483.00,1161.25,52.78409,2.31304,1.25408,18.41079,88483,13.88,22,true,1,2.9,130,2.2,45,1.4,3.6,101
2048,87364.00,1592.37,30.04472,1.91657,1.72100,25.58410,87364,13.12,53,false,1,1.5,7,2.5,76,1,1.5,36
1133,87022.00,1396.46,46.54867,2.62159,1.37260,30.94415,87022,14.95,30,false,1,1.7,63,1.75,23,1,1.5,1
2199,86831.00,1597.47,30.14094,1.91825,1.71609,25.27548,86831,13.19,53,false,1,1.5,7,2.5,95,1,1.5,81
1908,86831.00,1597.47,30.14094,1.91825,1.71609,25.27548,86831,13.19,53,false,1,1.5,116,2.5,110,1,1.5,81
2088,86217.00,1026.28,41.05120,2.27163,1.09581,22.50856,86217,14.04,25,true,1,1.5,135,2.05,58,1.5,3.3,16
1776,85497.00,1589.68,29.99396,1.91586,1.72308,25.80910,85497,13.09,53,false,1,1.5,7,2.5,76,1,1.5,1
1866,85497.00,1589.68,29.99396,1.91586,1.72308,25.80910,85497,13.09,53,false,1,1.5,7,2.5,63,1,1.5,1
