Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,Inp_IchimokuFilter_Enabled,InpRange3_Execution_Timeframe,InpRange3_TrendFilter_Timeframe,InpRange3_ATR_Period,InpRange3_ATR_Multiplier,InpRange3_SL_ATR_Period,InpRange3_SL_ATR_Multiplier,InpRange3_Trailing_ATR_Period,InpRange3_Trailing_ATR_Multiplier,InpRange3_RR_Ratio,InpRange3_PartialClosePercent
5990,23222.00,34.55,5.75833,6.93643,1.32783,0.51994,23222,0.51,6,true,16408,6,12,2.28,100,3,35,1.5,14.55,48
5971,23222.00,34.55,5.75833,6.93643,1.32783,0.51994,23222,0.51,6,true,16408,6,12,2.28,29,3,38,1.5,14.55,48
5994,23222.00,34.55,5.75833,6.93643,1.32783,0.51994,23222,0.51,6,true,16408,6,12,2.28,128,3,35,1.5,14.55,48
5509,23222.00,34.55,5.75833,6.93643,1.32783,0.51994,23222,0.51,6,true,16408,6,12,2.28,48,3,35,1.5,14.55,48
4493,23222.00,34.55,5.75833,6.93643,1.32783,0.51994,23222,0.51,6,true,16408,6,12,2.28,127,3,35,1.5,14.55,48
3892,23222.00,34.55,5.75833,6.93643,1.32783,0.51994,23222,0.51,6,true,16408,6,12,2.28,29,3,35,1.5,14.55,48
3438,22891.00,111.71,7.97929,4.13264,2.45841,3.12791,22891,0.90,14,true,16408,6,68,1.68,87,1.8,128,2.7,13.35,21
5483,21921.00,66.99,11.16500,6.75516,1.28728,0.54471,21921,1.02,6,true,16408,6,12,2.28,128,1.8,128,2.7,13.35,21
5355,21921.00,66.99,11.16500,6.75516,1.28728,0.54471,21921,1.02,6,true,16408,6,12,2.28,64,1.8,128,2.7,13.35,21
3675,20293.00,62.52,4.46571,3.92697,1.99490,2.85219,20293,0.62,14,true,16408,6,68,1.68,87,2.85,127,2.7,13.35,21
4707,19176.00,106.28,7.59143,3.52747,2.39208,2.84718,19176,0.89,14,true,16408,6,64,1.68,87,1.8,125,1.7,6.6,43
3947,17938.00,41.43,5.91857,4.40148,1.36552,0.61601,17938,0.61,7,true,16408,6,128,2.16,64,2.55,97,2.9,13.35,33
3832,17938.00,41.43,5.91857,4.40148,1.36552,0.61601,17938,0.61,7,true,16408,6,128,2.16,64,2.55,84,2.9,13.2,35
3598,17938.00,41.43,5.91857,4.40148,1.36552,0.61601,17938,0.61,7,true,16408,6,128,2.16,64,2.55,89,1.6,6.6,35
3629,17938.00,41.43,5.91857,4.40148,1.36552,0.61601,17938,0.61,7,true,16408,6,128,2.16,64,2.55,113,2.7,13.35,33
3511,17938.00,41.43,5.91857,4.40148,1.36552,0.61601,17938,0.61,7,true,16408,6,128,2.16,69,2.55,89,1.7,13.8,33
3449,17938.00,41.43,5.91857,4.40148,1.36552,0.61601,17938,0.61,7,true,16408,6,128,2.16,64,2.55,85,2.9,13.2,35
3171,17938.00,41.43,5.91857,4.40148,1.36552,0.61601,17938,0.61,7,true,16408,6,128,2.16,64,2.55,85,2.9,13.35,33
3057,17938.00,41.43,5.91857,4.40148,1.36552,0.61601,17938,0.61,7,true,16408,6,128,2.16,64,2.55,123,1.6,6.6,35
3848,17496.00,94.41,5.55353,3.30381,2.19507,4.30068,17496,0.84,17,true,16408,6,97,1.56,13,2.4,89,1.9,8.4,35
3630,17496.00,94.41,5.55353,3.30381,2.19507,4.30068,17496,0.84,17,true,16408,6,97,1.56,13,2.4,89,2.4,12.45,84
3747,17496.00,94.41,5.55353,3.30381,2.19507,4.30068,17496,0.84,17,true,16408,6,97,1.56,13,2.4,123,1.7,6.6,35
3715,17496.00,94.41,5.55353,3.30381,2.19507,4.30068,17496,0.84,17,true,16408,6,97,1.56,61,2.4,123,1.6,6.6,19
3491,17496.00,94.41,5.55353,3.30381,2.19507,4.30068,17496,0.84,17,true,16408,6,97,1.56,13,2.4,33,2.9,6.6,35
6178,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,117,2.4,3.6,22
6057,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,127,1.6,13.35,21
5852,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,89,2.7,13.35,21
5485,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,89,1.9,13.2,21
4506,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,128,1.9,8.7,55
4216,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,128,2.7,13.35,21
4234,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,123,1.9,13.2,21
4203,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,117,2.4,13.35,21
4202,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,86,2.9,8.7,22
3873,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,119,2.9,13.35,21
3822,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,129,2.7,13.35,21
3950,17340.00,76.23,5.44500,3.78415,2.43236,3.17812,17340,0.62,14,true,16408,6,68,1.68,87,2.4,123,1.7,6.6,19
